ms_file,Acetoacetate,Acetyl-Threonine,Adenine,Adenosine,Adenosine monophosphate,Alanine,Alpha Ketoglutarate,Arabitol,Arginine,Asparagine,Aspartate,Biotin,Carnosine,Citrulline,Creatinine,Cysteic Acid,Cysteine,Cystine,Cytidine,Cytosine,DihydroOrotate,Folate,Fructose1-6 Bisphosphate,Fumarate,Glucose,Glucose-6-Phosphate,Glutamate,Glutamine,Guanine,Guanosine,Hippurate,Histidine,Hypoxanthine,Inosine,Isoleucine,Itaconate,Leucine,Lysine,Methionine,Methionine Sulfoxide,Mevalonate acid,Myoinositol,N-Acetyl-Aspartate,N-Acetyl-Glucosamine,N-Acetyl-Glutamate,N-Acetyl-Glutamine,N-Acetyl-Glycine,N-Acetyl-Leucine,N-Acetyl-Methionine,N-Acetyl-Phenylalanine,Nicotinate,O-Phospho-L-Serine,Ornithine,Orotate,Panthothenic acid,Phenylalanine,Proline,Pyridoxine,Rhamnose,Riboflavin,Serine,Shikimate,Succinate,Taurine,Threonine,Thymidine,Thymine,Trehalose,Tryptophan,Tyrosine,Uracil,Uric Acid,Uridine,Urocanate,Valine,Xanthine,Xanthosine,Date,Col,SType,Batch
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00001_SG1__BlankPre1,0.28340334068477113,0.046276635795980174,0.0135778724095234,2.1838401004832485e-17,3.0991336680175785e-17,2.9310540456282924e-15,7.421163352184028e-17,0.07542041836929324,0.32194314040275857,0.12008790435328362,0.9717808245386088,4.0249196266270075e-19,4.159999148223314e-17,1.0435032883437522e-17,1.1346858950789611,1.4584891388455694e-17,8.104137955462959e-17,0.4946501664558458,3.0303736279415237e-18,1.0841861610552712e-19,0.0338584741625408,1.7043660536138032e-17,5.223322486518039e-15,0.08205540538500293,1.2605118527581984e-17,7.767186770615551e-17,0.6217488741862844,0.0713396172970172,0.06789281048269409,1.922216838781438e-18,0.0055541904808293924,0.4936289420104682,0.011257135524246122,6.729458709449681e-19,9.69054552082908e-17,0.021545229871608958,9.823495078279456e-17,2.9162100747884998e-15,0.2285379567403936,0.09163969387886828,2.698768337852841e-18,2.870880212697502e-16,0.0494902309472418,0.1231515832424769,0.07195800866645317,0.4776722143569414,0.16664939749271304,0.004442218057517519,2.1806079000455e-19,0.007729761497615239,0.012642299008099192,3.227973813737165,6.441351646271515e-17,0.05321673899234485,3.3275907063632137e-19,1.8994824686627827e-17,2.433418184124444e-15,0.03559883871153835,0.11898393443714472,7.220829491461747e-18,2.825760909161679e-17,0.006811895047738057,0.26844237666694065,0.0970984504442558,2.925669776269633e-17,0.02358714497197936,0.4967328442277588,1.2434855994948525e-15,1.3127634080287004e-17,0.9487214984584971,0.5890690439836724,0.007978219935724598,0.0061393368157844925,0.0035987242030929303,3.8240826981714977,0.003004559722093546,0.00969903195827952,210824,Col01,Blank,SA017
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00002_SG1__BlankPre2,0.04037966091858102,0.017092201527528727,0.001980304376801805,2.1838401004832485e-17,3.0991336680175785e-17,2.9310540456282924e-15,7.421163352184028e-17,0.014706930275104418,4.1788273083885235e-17,1.535173298820912e-17,0.09188100679554734,4.0249196266270075e-19,4.159999148223314e-17,1.0435032883437522e-17,4.1316342869836276e-17,1.4584891388455694e-17,8.104137955462959e-17,8.312364927016546e-17,3.0303736279415237e-18,0.05273066108549882,1.1614767502643294e-18,1.7043660536138032e-17,5.223322486518039e-15,0.2003902705741285,1.2605118527581984e-17,7.767186770615551e-17,0.09933787528957848,1.0721444477822275e-17,1.0329017640758187e-18,1.922216838781438e-18,0.0011625560893607644,3.696849232772121e-17,0.004058192730954322,6.729458709449681e-19,0.4693517303410602,0.0025852273604571345,0.4757910071292757,2.9162100747884998e-15,2.1929928888580228e-17,1.1417348734495739e-17,0.01354817021515923,2.870880212697502e-16,0.0028430344183281325,9.666317383849227e-18,0.008158393025403601,1.6652722707521409e-18,0.027390486702477068,0.003051397213924429,2.1806079000455e-19,0.001595275325923395,0.003313841101539122,5.031993283561915e-16,6.441351646271515e-17,1.4404349277688534e-18,3.3275907063632137e-19,1.8994824686627827e-17,2.433418184124444e-15,2.5486906191217297e-18,2.1082406466570526e-17,7.220829491461747e-18,2.825760909161679e-17,0.002534020675433553,0.015836214280540672,2.9190281705850253e-18,2.925669776269633e-17,1.923885550545205e-18,0.04166147798554228,1.2434855994948525e-15,1.3127634080287004e-17,2.703213797994548e-17,0.06549253081838835,5.37258319439857e-19,6.550606813042852e-19,0.002114316920867294,7.130320962218987e-16,0.0014374214081594489,6.577019209463224e-19,210824,Col01,Blank,SA017
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00003_SG1__BlankPre3,0.03563957967801519,0.00918753336338587,0.003985191532501779,2.1838401004832485e-17,3.0991336680175785e-17,2.9310540456282924e-15,7.421163352184028e-17,0.012957368779334287,4.1788273083885235e-17,1.535173298820912e-17,0.15923308183053722,4.0249196266270075e-19,4.159999148223314e-17,1.0435032883437522e-17,0.15762737572320407,1.4584891388455694e-17,8.104137955462959e-17,8.312364927016546e-17,3.0303736279415237e-18,0.049926074771754037,0.0068833365675559895,1.7043660536138032e-17,8.473893242039722,0.2026939455312305,0.049989782814387256,7.767186770615551e-17,0.1735924757211417,1.0721444477822275e-17,1.0329017640758187e-18,1.922216838781438e-18,0.0064755500478079564,3.696849232772121e-17,0.005376877280882954,0.00227541974857142,0.3563535580988665,0.006998179007557358,0.3612425550849788,2.9162100747884998e-15,2.1929928888580228e-17,1.1417348734495739e-17,2.698768337852841e-18,2.870880212697502e-16,0.01025362003841034,0.04405568576064251,0.01088256337317628,0.008222020011803947,0.01725311724831878,0.009090304539732823,0.002389924963450834,0.011566647706509522,0.0047866054288114345,5.031993283561915e-16,6.441351646271515e-17,1.4404349277688534e-18,0.0017211023794177205,1.8994824686627827e-17,2.433418184124444e-15,2.5486906191217297e-18,2.1082406466570526e-17,7.220829491461747e-18,2.825760909161679e-17,0.007047230692603187,0.04655629741798375,0.01709721121980171,2.925669776269633e-17,1.923885550545205e-18,0.03833510534431712,1.2434855994948525e-15,1.3127634080287004e-17,2.703213797994548e-17,0.06566385263483744,0.003000186606664164,6.550606813042852e-19,0.002905758600801648,7.130320962218987e-16,0.0021252400611403146,6.577019209463224e-19,210824,Col01,Blank,SA017
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00004_SG1__BlankPre4,0.038611750186528786,0.001827204771432277,0.0018842378575824488,2.1838401004832485e-17,3.0991336680175785e-17,2.9310540456282924e-15,7.421163352184028e-17,2.7710059891136774e-18,4.1788273083885235e-17,1.535173298820912e-17,0.0508889447064828,4.0249196266270075e-19,4.159999148223314e-17,1.0435032883437522e-17,0.1284653002954947,1.4584891388455694e-17,8.104137955462959e-17,8.312364927016546e-17,3.0303736279415237e-18,0.05359709184418787,1.1614767502643294e-18,1.7043660536138032e-17,5.223322486518039e-15,0.10179374852015337,1.2605118527581984e-17,7.767186770615551e-17,0.055837500696188216,1.0721444477822275e-17,1.0329017640758187e-18,1.922216838781438e-18,0.0016116690995206515,3.696849232772121e-17,0.00384415151331464,6.729458709449681e-19,9.69054552082908e-17,0.0025434537123925232,0.3842888438790141,2.9162100747884998e-15,2.1929928888580228e-17,1.1417348734495739e-17,0.012292375853308498,2.870880212697502e-16,5.652714508916242e-19,9.666317383849227e-18,0.002592470241037411,1.6652722707521409e-18,0.013040521601852234,0.002852749647702638,0.0007747920804476499,0.002426590871072608,0.0034878640676491873,5.031993283561915e-16,6.441351646271515e-17,1.4404349277688534e-18,0.0011049111396864892,1.8994824686627827e-17,2.433418184124444e-15,2.5486906191217297e-18,2.1082406466570526e-17,7.220829491461747e-18,0.11101637803799416,0.0016851356647367961,0.01322692207497322,2.9190281705850253e-18,2.925669776269633e-17,1.923885550545205e-18,0.027432261052402318,1.2434855994948525e-15,1.3127634080287004e-17,2.703213797994548e-17,0.061093193561669236,5.37258319439857e-19,6.550606813042852e-19,0.0015720480050408886,2.4939726762995247,0.0012853737101906784,6.577019209463224e-19,210824,Col01,Blank,SA017
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00005_A12__Std1,0.0652132476840511,0.04393198097581185,0.0061819912576552396,2.1838401004832485e-17,3.0991336680175785e-17,2.9310540456282924e-15,7.421163352184028e-17,0.03877142870878213,4.1788273083885235e-17,1.535173298820912e-17,1.2666727244162027e-17,0.004253644724756917,4.159999148223314e-17,1.0435032883437522e-17,4.1316342869836276e-17,1.4584891388455694e-17,8.104137955462959e-17,8.312364927016546e-17,3.0303736279415237e-18,0.04581134434866303,0.0196265774132346,1.7043660536138032e-17,5.223322486518039e-15,0.10431199663538296,0.07376981899442703,0.2508354941223812,0.1171716720291838,0.07183218076843997,0.00671064726583731,1.922216838781438e-18,0.03681472386098948,3.696849232772121e-17,0.0063327868440105645,0.0039521683837691664,9.69054552082908e-17,0.03544488643271294,9.823495078279456e-17,2.9162100747884998e-15,0.13317559672056434,1.1417348734495739e-17,0.0122555313402585,2.870880212697502e-16,0.03952848308146115,0.17928925007591312,0.04958490114335278,0.06178560830630595,0.04413854977828769,0.03720757911619587,0.034382213762391166,0.034959109616189483,0.005214855410233566,5.031993283561915e-16,6.441351646271515e-17,0.01099473148970515,0.004005758241760445,0.0716138094529806,2.433418184124444e-15,0.009704667190910694,2.1082406466570526e-17,7.220829491461747e-18,2.825760909161679e-17,0.035460580246928525,0.03553762644044097,0.024992203235514814,2.925669776269633e-17,1.923885550545205e-18,0.038034408541365486,1.2434855994948525e-15,1.3127634080287004e-17,2.703213797994548e-17,0.05715202256487813,0.0019409527109073071,0.0046377682116954715,0.007503023142094817,7.130320962218987e-16,0.004207989219470608,0.00431696754013476,210824,Col01,Std,SA017
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00006_B12__Std2,0.13786557721302845,0.1455100243906197,0.013878657044697014,2.1838401004832485e-17,3.0991336680175785e-17,2.9310540456282924e-15,7.421163352184028e-17,0.1345163858385478,4.1788273083885235e-17,0.09204017574437501,0.14416755600495973,0.012409581881321087,4.159999148223314e-17,1.0435032883437522e-17,4.1316342869836276e-17,0.13162347455076026,8.104137955462959e-17,8.312364927016546e-17,0.014961228340952528,0.04725193299359296,0.07949439970207736,1.7043660536138032e-17,5.223322486518039e-15,0.16565416609219455,0.2693685763260038,0.2853335603560765,0.14708786679677674,0.12302474330422232,0.015332104291013391,0.013959396793402036,0.12276351323909862,3.696849232772121e-17,0.017575447019204653,0.012982191786273248,0.4471362966859099,0.15121921098246846,0.4532707885611737,2.9162100747884998e-15,0.12494390665536766,0.11177701483494852,0.015926548102676533,2.870880212697502e-16,0.14724974183726502,0.4338963306998515,0.17091900247923747,0.16552772545433295,0.13704084712572054,0.12749031936998967,0.1389063450600233,0.12158718603299637,0.01254356824370722,5.031993283561915e-16,6.441351646271515e-17,0.01581367700038646,0.013365741213911382,0.151291775268575,2.433418184124444e-15,0.02989575766312268,0.2374795764581102,7.220829491461747e-18,0.18412285547258875,0.1279811156651375,0.1475206712357915,0.15646409464389813,2.925669776269633e-17,0.01914911488697368,0.024863200375798616,1.2434855994948525e-15,0.11332125004875032,0.13633233773172276,0.06828756630851125,0.005711081644295726,0.01505503318189181,0.01533098237181764,7.130320962218987e-16,0.013629382590411748,0.01317985578847175,210824,Col01,Std,SA017
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00007_C12__Std3,0.558919708389384,0.503581501247801,0.059136932956744624,0.07851356218054914,3.0991336680175785e-17,2.9310540456282924e-15,0.5812507703390322,0.5450889611123791,0.3708581096373051,0.43385652533391705,0.3630020797751285,0.051292582069701914,4.159999148223314e-17,0.05536570629268403,4.1316342869836276e-17,0.493740675978664,0.5829591342464508,0.3431559356785103,0.056129290580551806,0.048084350799560686,0.21548148595070227,1.7043660536138032e-17,5.223322486518039e-15,0.5130243507820128,0.6395318656918133,0.5229635474940452,0.4640864337830274,0.4108546310863565,0.04932826533833366,0.05281786336080755,0.5472187532179332,0.4243348245301377,0.05102017337116176,0.052965619010530665,0.7087238666711979,0.5228484981299336,0.7184472124029672,2.9162100747884998e-15,0.4684604591426404,0.5249480642881426,0.04991699371940438,2.870880212697502e-16,0.4933842199968494,1.0974408763094414,0.6103203135951962,0.536317535478677,0.5201610082138235,0.5344000216933591,0.5402977237650813,0.5412573850308074,0.04728684551992028,5.031993283561915e-16,6.441351646271515e-17,0.055503930216383286,0.05717654568522584,0.4689035339676071,2.433418184124444e-15,0.08684965941668299,0.5227200682924066,0.02463216742820971,0.4247637990418341,0.5143859157771413,0.4911251645177063,0.5409611876549048,0.3540436994985962,0.053889488457700856,0.060043673157571226,1.2434855994948525e-15,0.3859001621833093,0.4064350053601184,0.10384320058604676,0.018906183221047868,0.050524277641549716,0.051113946095551935,7.130320962218987e-16,0.05391353692673586,0.05776043604823895,210824,Col01,Std,SA017
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00008_D12__Std4,2.226574526423076,1.5233765794708074,0.21444240869806885,0.22712723995218256,3.0991336680175785e-17,2.9310540456282924e-15,2.1383516915391083,1.9109879109386445,1.777599028097928,1.966744574777037,1.6093364933835013,0.18764971478748796,0.24364062823859414,0.16221757949931814,0.2279527944385598,1.6335199136202232,1.8589741745555943,2.075784550486896,0.1939300269215945,0.05109913709336178,0.953574807512808,1.7043660536138032e-17,5.223322486518039e-15,1.8400301729981616,2.0758156460416406,1.9510306944417881,1.836675918667932,1.9807736329946317,0.22554397730907325,0.2407303876059752,1.911705416454604,1.600433615892087,0.21078338340175792,0.16721392648534114,2.229324381470227,2.1338097097585917,2.2599096245086896,2.9162100747884998e-15,2.271382447635658,2.2447802767515634,0.20200027999296866,4.463906971096507,1.6804074553272357,2.130327668550193,1.6842508896837343,2.321278804822481,2.0538350242472028,2.08994705236049,2.1258194723744803,1.9260436600340447,0.1980846610714388,2.0681251606698345,6.441351646271515e-17,0.2253154196831154,0.2183598089448178,1.802198099677136,2.433418184124444e-15,0.22058566863538365,2.150087905842782,0.08869961878601247,1.6238013198113692,2.1121678224979776,1.8493418688673515,2.2387663520384598,1.6756641074172496,0.2049023934662621,0.2261145739692101,1.2434855994948525e-15,1.8791625647168504,1.8201764878386144,0.2527557746215809,0.07135657650667519,0.18619432523005255,0.19675585986152586,7.130320962218987e-16,0.23554961729577775,0.18224988054933253,210824,Col01,Std,SA017
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00009_E12__Std5,8.669791255507134,8.21035402980596,0.8260120846785365,0.7106169195064107,3.0991336680175785e-17,2.9310540456282924e-15,5.776213214009559,6.565884143423428,6.79132110031795,8.113686405128538,5.883462449635358,0.5654558768838007,0.5754259103042135,0.7161100013318967,0.9830470892363932,7.30334562165145,9.441429617468136,6.819392751738294,0.6617546685793371,0.05191977115099157,3.6302992447511055,0.2808266303687725,5.223322486518039e-15,7.446654776444678,7.855159286530004,7.456765083213223,7.618090061637172,7.559564524339857,0.800047940982378,0.9318205625266264,5.965997467975369,6.668389353993589,0.7770570931263141,0.7466303314387892,6.270254230459727,8.77030628536058,6.356279059841032,2.9162100747884998e-15,7.310030664142075,8.697566432876402,0.5949475704004209,9.559243859099336,9.698595174785384,9.135746513836123,8.238698652787756,8.55156528193201,8.067168223149308,7.619702918376503,7.614961032526892,6.259184105026611,0.7783208212978092,6.763634851945968,0.8725926718724398,0.508971244783542,0.7388269610882463,6.652993737377201,10.68974349232222,0.8914236592174661,9.00942607372083,0.2861555212035719,6.848495595388276,7.807216085873918,7.715284337302397,8.870797443411313,6.901199694861103,0.6562796867730798,0.8201358407645518,9.130997939476986,8.720627424704155,7.58032847921554,0.7753189638119911,0.2077262114118028,0.7426381183828258,0.8145090091494489,11.00551183742414,0.7742615551111793,0.8185083963628975,210824,Col01,Std,SA017
SA017_G0_T0_210824_HILICNeg4S_Col01_RN00010_F12__Std6,28.79167926658813,28.37561293593653,2.924815022629889,3.509198326015877,0.3778023715278151,25.020788293202727,27.762379614096012,23.79349231606368,32.567659286721096,45.92498556542132,35.79847020299663,1.3800590079363773,3.0934221666092783,3.4796132379571008,2.2357651414243858,44.38400858255625,30.394488360584308,33.10084501362738,2.467238349669384,0.047931792254373176,11.11198976994231,1.3734985368545325,21.718003598045076,28.455565479013448,30.101618635716076,36.54603126733177,41.47638555770678,44.544921444231946,2.8317092241042854,3.3749168369558054,14.467278288099733,37.593943765167744,3.199567675481324,2.543368804908784,28.11537353049171,26.74849547937632,28.50110274051369,20.312501021471974,29.63678298658161,35.334716277595966,2.024170878954478,39.103079624815116,26.81429794358405,24.697329753084787,26.79928158620605,28.277795258058692,30.343438353005517,21.478374140257454,20.862198509704374,16.698718611801535,2.916689048511252,34.382619432900825,2.4565513613340952,2.1753432074272334,2.6019217044460623,34.552994096355995,27.093656674577073,3.091176868711163,31.312038085287824,0.9907729479854486,39.389415149369405,22.261406485409932,23.224683919089536,31.37664256270284,40.86027346119079,1.866753244021976,2.834780089388297,38.502306914902704,35.316223755469686,37.39159325863759,2.3629630290360804,0.736465846885233,2.7033263641393512,2.782671084063756,26.327813292310147,2.9721350844858683,2.4789985706472675,210824,Col01,Std,SA017
